Тема,Описание,Тип оборудования,Точка отказа,Серийный номер
Не работает блок питания,Не работает блок питания,Ноутбук,Блок питания,С223092905
СИЛА НК2-1404 // не работает LAN порт // С222090774,"Добрый день._x000D_
Ноутбук СИЛА, не работает LAN порт_x000D_
Серийник: С222090774_x000D_
Просьба сообщить, действует ли гарантия на данный ноутбук. _x000D_
_x000D_
Благодарю. _x000D_
_x000D_
",Ноутбук,Wi-fi модуль,С222090774
Неисправность сервера СИЛА // 46923,"Модель: сервер CP2 – 5422_x000D_
S/N : D252030011 _x000D_
 Расположение: КВ7 _x000D_
 Описание: Неисправность системы охлаждения сервера _x000D_
 Дополнительная информация во вложении. _x000D_
 ",Сервер,Сервер,D252030011
HK2-1404 // шумит кулер + артефакты на экране ноутбука // C223010327,"Добрый день.

Прошу осуществить забор и последующий ремонт ноутбука  sn:C223010327.

Неисправность:

1)  шумит кулер (во вложении видео)
2) периодически появляются артефакты на экране ноутбука, в особенности, при работе в excel (во вложении видео). 
",Ноутбук,Корпус,C223010327
Неисправность ноутбука Сила,"Добрый день! 
 Ноутбук СИЛА НК2-3404 - NTB48449 (S/N: C223091227)
 Описание неисправности – вышла из строя матрица. В нижней части экрана полосы и мерцание. Во вложении фото неисправности. На ноутбуке нет следов физического воздействия, скорее всего неисправность аппаратная. 
 ",Ноутбук,Матрица,C223091227
СИЛА НК2-1404//нет звука и видеосигнала // C222091964,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Материнская плата,C222091964
НК2-1404 // Не работает Wi-FI (Кашира)// C223101179,"На устройстве не работает WiFi
",Ноутбук,Wi-fi антенна,C223101179
Ноутбук Сила. Гарантийный ремонт,"Добрый день. 
 Ноутбук СИЛА HK2-1404  S/n C223014758. Не включается 
 ",Ноутбук,Материнская плата,C223014758
СИЛА НК2-1404  // Не работает зарядное устройство Type-C // C223010757,"Не работает зарядное устройство Type-C СИЛА НК2-1404 
Ноутбук от другого устройста заряжается корректно.

",Ноутбук,Блок питания,C223010757
Просьба открыть заявку по неисправному диску:  dd401..ru - Disk 3.23 SN: ZC1BYZ1X,"Добрый день!
Просьба открыть заявку по неисправному диску:
 dd401.ru - Disk 3.23 SN: ZC1BYZ1X 
@dd401-p0(active:0)# alerts show current
Id       Post Time                  Severity   Class             Object                         Message
------   ------------------------   --------   ---------------   ----------------------------   ------------------------------------------------------------------------
p0-477   Fri Nov 24 04:35:09 2023   CRITICAL   HardwareFailure   Enclosure=1:DIMM=MR1 DIMM A0   EVT-DIMM-00003: A memory card has failed
m0-72    Tue Jun 11 03:24:39 2024   CRITICAL   HardwareFailure   Enclosure=3:Disk=23            EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
------   ------------------------   --------   ---------------   ----------------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd401-p0(active:0)# system show serial
Serial number: CKM00194300973
@dd401-p0(active:0)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10193400034   Online                          4 Slots
2           DS60        FCNCD191700080   Online                          60 Slots
3           DS60        FCNCD191500345   Online                          60 Slots
4           DS60        FCNCD191000240   Online                          60 Slots
5           DS60        FCNCD191700271   Online                          60 Slots
6           ES30        CKM00194101709   Online                          15 Slots
7           DS60        FCNCD191500225   Online                          60 Slots
8           DS60        FCNCD191000196   Online                          60 Slots
---------   ---------   --------------   ------   --------   ---------   --------
8 enclosures present.
@dd401-p0(active:0)# system show model
Model number: DD9800
@dd401-p0(active:0)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  s  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  s |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  . |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  F  . |
     A( 1-12)    |.  .  . |.  s  . |R  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  s  . |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  s |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  s |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
8                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  s  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
--------------   ----------------------------------------------
Legend   State                          Count
------   ----------------------------   -----
.        In Use Disks                   312
s        Spare Disks                    20
R        Spare (reconstructing) Disks   1
F        Failed Disks                   1
-        Not Installed Disks            45
------   ----------------------------   -----
Total 334 disks
Disk    Disks            Progress   Remaining
Group   Reconstructing   (%)        (minutes)
-----   --------------   --------   ---------
dg9     3.7              77         142
-----   --------------   --------   ---------
@dd401-p0(active:0)# disk show hardware
Disk         Slot   Manufacturer/Model                        Firmware   Serial No.                 Capacity    Type
(enc/disk)
----------   ----   ---------------------------------------   --------   ------------------------   ---------   --------
1.1          0      SHSA
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM00194300973
Драйвера для ноутбука СИЛА НК2-3404,"Добрый день! Получили для тестирования один из ваших ноутбуков. Однако Win10 отказывается ставить даже половину драйверов. Если у вас имеется пак драйверов для Win 10 прошу предоставить.
",Ноутбук,Консультация,C223090609
Сила НК2-1404 / перестало работать зарядное устройство для ноутбука/ C223100251,"Сила НК2-1404 / перестало работать зарядное устройство для ноутбука/ C223100251_x000D_
прошу заменить по гарантии",Ноутбук,Блок питания,C223100251
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/В3Y/С111110066/инв. № 525467,Не рабочий первый  Tipe-C,Ноутбук,Блок питания,С111110066
СИЛА HK2-1404 // Краш SSD  // C223012059,"Добрый день, на ноутбуке крашится SSD.
",Ноутбук,Оперативная память,C223012059
HK2- 1404 // Не работает залипание клавиш  F G  H  отваливается кнопка Backspace //C223010731,"Добрый день,
запилают клавиши при печати F G H,  отваливается клавиша Backspace
Просьба завести заявку в рамках гарантийного ремонта.
",Ноутбук,Клавиатура,C223010731
гарантийный ремонт.Отпала клавиша,"Добрый день! 
 Ноутбук сила HK2-1404, sn C223013450 . 
 Отпала клавиша «8». Фото приложено 
 Прошу взять в гарантийный ремонт. 
 ",Ноутбук,Клавиатура,C223013450
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/C111110003/инв. 525698,"Не работает HDMI_x000D_
_x000D_
Ноутбук СИЛА HK1-1425/ i5-1135G7/8G/m.2 256Gb/C111110003/инв. 525698",Ноутбук,Материнская плата,C111110003
ремонт ноутбука СИЛА НК2-1404,"не работает порт usd и порт type-c на ноутбуке СИЛА НК2-1404
",Ноутбук,Материнская плата,C223100081
СИЛА НК2-1404 // Сломался разъема Адаптера питания// С222090230,"Здравствуйте. Сломался разъем Адаптера питания (фото во вложении) ноутбука СИЛА НК2-1404. _x000D_
_x000D_
 ",Ноутбук,Блок питания,С222090230
нк2-1404 C223013824,"Добрый день!
Прошу взять в гарантийный ремонт ноутбук СИЛА нк2-1404 C223013824
Неисправности:
Повреждена матрица ноутбука(видео прикладываю)
",Ноутбук,Матрица,C223013824
СИЛА HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223011958,"Добрый день!
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223011958
СИЛА НК2-3205 // Установка дополнительной планки памяти // C233041869,Необходимо установить вторую планку памяти на 8 Гб в ноутбуке СИЛА НК2-3205 с SN: C233041869,Ноутбук,Оперативная память,C233041869
Неисправность сервера СИЛА // 46919,"Коллеги, добрый день. _x000D_
 Просьба принять запрос. _x000D_
 Модель: сервер CP2 – 5422_x000D_
S/N : D252030014 _x000D_
 Расположение: КВ7 _x000D_
Описание: Неисправность системы охлаждения сервером + неисправность процессора при полной загрузке ЦП частота не поднимается выше 1ГГц _x000D_
 bios 8.3 BMC 1262_2_x000D_
Дополнительная информация о неисправности во вложении.  _x000D_
 ",Сервер,Сервер,D252030014
сломался блок питания нотубка Сила НК2-1404 v2 SN:  C223101457,"сломался блок питания нотубка Сила НК2-1404 v2 SN:  C223101457. Отвалился штекер, который вставляется в разъем питания ноутбука.",Ноутбук,Блок питания,C223101457
СИЛА НК2-1404//нет звука // C222091827,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Консультация,C222091827
открыть кейс по неисправному диску на dd:  dd204.region..ru  Enclosure=2:Disk=12,"Добрый день. 
Коллеги, 
Прошу открыть кейс по неисправному диску на dd: dd204.region..ru - Disk 2.12 [SN: ZC1C5RLH] Enclosure=2:Disk=12
@dd204-p1(active:1)# alerts show current
Id       Post Time                  Severity   Class               Object                Message                                                               
------   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
p1-831   Thu Apr 11 12:17:03 2024   ERROR      SystemMaintenance                         EVT-SMTOOL-00001: Error communicating with mail server.               
m0-27    Tue May 14 21:41:28 2024   CRITICAL   HardwareFailure     Enclosure=2:Disk=12   EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
------   ------------------------   --------   -----------------   -------------------   ------------------------------------------------------------------------
There are 2 active alerts.
@dd204-p1(active:1)#
@dd204-p1(active:1)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10193200087   Online                          4 Slots
2           DS60        FCNCD191900145   Online                          60 Slots
3           DS60        FCNCD191900153   Online                          60 Slots
4           DS60        FCNCD191900069   Online                          60 Slots
5           DS60        FCNCD191900155   Online                          60 Slots
6           ES30        CKM00194101700   Online                          15 Slots
7           DS60        FCNCD191700370   Online                          60 Slots
---------   ---------   --------------   ------   --------   ---------   --------
7 enclosures present.
@dd204-p1(active:1)# system show model
Model number: DD9800
@dd204-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  . |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  F |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  . |.  .  s |.  s  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  s |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  s |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  s |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  s |.  .  s |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |s  .  . |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
--------------   ----------------------------------------------
Legend   State                 Count
------   -------------------   -----
.        In Use Disks          257
s        Spare Disks           16
F        Failed Disks          1
-        Not Installed Disks   45
------   -------------------   -----
Total 274 disks
@dd204-p1(active:1)# disk show hardware
Disk         Slot   Manufacturer/Model                        Firmware   Serial No.                 Capacity    Type
(enc/disk)
----------   ----   ---------------------------------------   --------   ------------------------   ---------   --------
1.1          0      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG1927044V                372.6 GiB   SATA-SSD
1.2          1      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG19270455                372.6 GiB   SATA-SSD
1.3          2      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG1927045H                372.6 GiB   SATA-SSD
1.4          3      SHSAT6P400GLM21EMC____________118000533   FW1188     SPG19270444                372.6 GiB   SATA-SSD
2.1          A0     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C5ZX1                   3.6 TiB     SAS
2.2          A1     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C5Z4F                   3.6 TiB     SAS
2.3          A2     SEAGATE STMFSND2CLAR4000                  BS03       ZC1C6116                   3.6 TiB     SAS
2.4  
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM00194401300
"СИЛА НК2-1404 // Рябь, мерцание //C223014954","Коллеги, добрый день!
У нас поломка 3-х ноутбуков СИЛА НК2-1404.
Серийные номера: C223013568,C223014073, C223014954


Рябь на ноутбуках/мерцание.",Ноутбук,Матрица,C223014954
Неисправность сервера // 46906,"Коллеги, добрый день.
Просьба принять запрос.
Модель: сервер CP2 – 5422
S/N : D252030012 

 Описание: Неисправность системы охлаждения сервера. 
 Приоритет: 3 
 Дополнительная информация во вложении. 
 ",Сервер,Сервер,D252030012
"ноутбук НК2-1404, sn-C222091591","Добрый день. _x000D_
 У ноутбука НК2-1404 перестал определяться  NVME SSD-накопитель, на другом ноутбуке SSD-накопитель работает нормально. _x000D_
 Серийный номер ноутбука – C222091591 _x000D_
 ",Ноутбук,Материнская плата,C222091591
Не работает дисплей,"Не работает дисплей ноутбука. 
",Ноутбук,Матрица,C223011312
"СИЛА СХ2-4115-12; СИЛА CX2-4016-25; СИЛА СХ2-4066-36  //  обновить ПО до последней версии // E244030001, E244030002, E244030003","Добрый день. 
Недавно приобретали у вас 3 схд, (СИЛА СХ2-4115-12; СИЛА CX2-4016-25; СИЛА СХ2-4066-36;) сейчас готовим оборудование к запуску и хотим обновить ПО до последней версии. ",СХД,Консультация,"E244030004, E244030002, E244030003"
Проблема с ноутбуком СИЛА HK2-1404,"Добрый день, у нас вышел из строя SSD у ноутбука СИЛА HK2-1404 s/n 
C222091364
Зарегистрируйте заявку на гарантийный ремонт с вывозом, г.Краснодар, 
",Ноутбук,Программное обеспечение,C222091364
Проблема с изображением на дисплее,"Возникла проблема с отображением информации на дисплее.
Прошу забрать для диагностики.
",Ноутбук,Матрица,C223090664
Замена клавиатуры C223010701,"согласована замена клавиатуры на ноутбуке  C223010701 в рамках гарантийных обязательств , с выездом инженера на локацию.
",Ноутбук,Клавиатура,C223010701
+BB0EPgRDBEIEMQRDBDo- +BCEEGAQbBBA- +BB0EGg-2-1404 s/n C222090381 +BEEEOwQ+BDwEMA-+BDsEQQRP- +BBEEHw- (+BBIEPgQ7BDMEPgQzBEAEMA-+BDQ-),"Здравствуйте.

                Сломался блок питания (отвалился разъём type-c) у ноутбука СИЛА НК2-1404 серийный номер C222090381.

Эксплуатируется в Волгограде.

                                       
",Ноутбук,Блок питания,C222090381
СИЛА НК2-3404,"Добрый день._x000D_
Возникла проблема с ноутбуком СИЛА НК2-3404 серийный номер: C223091364_x000D_
На ноутбук была установлена ОС корп, установлены драйвера. При выходе 13.06.2024 на рабочее место и включении ноутбука для установки обновлений, были замечены артефакты._x000D_
Ноутбук не вскрывался и не падал, пользователю не выдавался. _x000D_
Фото артефактов во вложении. _x000D_
 ",Ноутбук,Матрица,C223091364
Просьба открыть заявку по неисправному диску на dd203 - Enclosure=5:Disk=31,"Добрый день!
Просьба открыть заявку по неисправному диску на dd203 - Enclosure=5:Disk=31
Спасибо.
@dd203-p1(active:1)# alerts show current
Id       Post Time                  Severity   Class               Object                    Message
------   ------------------------   --------   -----------------   -----------------------   ------------------------------------------------------------------------
p1-222   Fri Feb 25 14:11:09 2022   ERROR      SystemMaintenance   ESRSGateway=10.64.0.246   EVT-SMTOOL-00003: Error communicating with ESRS gateway: 10.64.0.246.
p1-228   Thu Apr 11 11:28:52 2024   ERROR      SystemMaintenance                             EVT-SMTOOL-00001: Error communicating with mail server.
m0-43    Sun Jul  7 01:44:08 2024   CRITICAL   HardwareFailure     Enclosure=5:Disk=31       EVT-STORAGE-00002: Unable to access a disk and the disk state is failed.
------   ------------------------   --------   -----------------   -----------------------   ------------------------------------------------------------------------
There are 3 active alerts.
@dd203-p1(active:1)# system show serial
Serial number: CKM00193901783
@dd203-p1(active:1)# system show model
Model number: DD9800
@dd203-p1(active:1)# enclosure show summary
Enclosure   Model No.   Serial No.       State    OEM Name   OEM Value   Capacity
---------   ---------   --------------   ------   --------   ---------   --------
1           DD9800      NVT10192800018   Online                          4 Slots
2           DS60        FCNCD191500266   Online                          60 Slots
3           DS60        FCNCD191700424   Online                          60 Slots
4           DS60        FCNCD191700423   Online                          60 Slots
5           DS60        FCNCD191700259   Online                          60 Slots
6           ES30        CKM00194101710   Online                          15 Slots
7           DS60        FCNCD191500221   Online                          60 Slots
8           DS60        FCNCD191700171   Online                          60 Slots
---------   ---------   --------------   ------   --------   ---------   --------
8 enclosures present.
@dd203-p1(active:1)# disk show state
Enclosure        Disk
  Row(disk-id)    1  2  3  4  5  6  7  8  9  10 11 12 13 14 15
--------------   ----------------------------------------------
1                 .  .  .  .
2                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  . |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  s |.  .  . |
     B(13-24)    |.  .  . |s  .  . |s  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
3                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |s  .  s |.  .  . |.  .  . |s  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  s |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
4                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  s  s |.  .  . |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |s  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
5                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  . |.  .  . |.  .  s |.  .  . |
     D(37-48)    |.  .  . |.  .  . |.  .  . |s  .  . |
     C(25-36)    |.  .  . |.  .  . |F  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  s  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  . |
                 |--------|--------|--------|--------|
6                 .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
7                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |.  .  . |.  .  s |.  .  s |
     D(37-48)    |.  .  . |.  .  . |.  .  . |.  .  . |
     C(25-36)    |.  .  . |.  .  . |.  .  . |.  .  . |
     B(13-24)    |.  .  . |.  .  . |.  .  . |.  .  . |
     A( 1-12)    |.  .  . |.  .  . |.  .  . |.  .  s |
                 |--------|--------|--------|--------|
8                |--------|--------|--------|--------|
                 | Pack 1 | Pack 2 | Pack 3 | Pack 4 |
     E(49-60)    |.  .  s |-  -  - |-  -  - |-  -  - |
     D(37-48)    |.  .  . |-  -  - |-  -  - |-  -  - |
     C(25-36)    |.  .  . |-  -  - |-  -  - |-  -  - |
     B(13-24)    |.  .  . |-  -  - |-  -  - |-  -  - |
     A( 1-12)    |.  .  . |-  -  - |-  -  - |-  -  - |
                 |--------|--------|--------|--------|
--------------   ----------------------------------------------
Legend   State                 Count
------   -------------------   -----
.        In Use Disks          313
s        Spare Disks           20
F        Failed Disks          1
-        Not Installed Disks   45
------   -------------------   -----
Total 334 disks
@dd203-p1(active:1)# disk show hardware
Disk         Slot   Manufacturer/Model                         Firmware   Serial No.                 Capacity    Type
(enc/disk)
----------   ----   ----------------------------------------   --------   ------------------------   ---------   --------
1.1          0      M500DC400-MTFDBAK400MBB________118000078   0154       1711164A5D4B               372.6 GiB   SATA-SSD
1.2          1      M500DC400-MTFDBAK400MBB________118000078   0154      
__________________________________
Полный текст обращения смотри в ""Оригинал письма.eml""",СХД,Диск,CKM00193901783
НК2-1404 v2 // Не работает зарядное устройство // C223100822,"Не работает зарядное устройство.
",Ноутбук,Блок питания,C223100822
"Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения.","Полосы на экране. полосы могут появиться не сразу, а через некоторое время после включения.

",Ноутбук,Матрица,C223090696
СИЛА НК2-1404 v2 // Неисправность ноутбука //  С223011138,"Прошу принять в гарантийный ремонт ноутбук ""СИЛА НК2-1404"" s/n: С223011138.
Заявленная неисправность: в процессе работы регулярно появляется ""синий экран"", и ноутбук сам уходит в перезагрузку. Переустановка ОС на ноутбуке проблему не устранило.
",Ноутбук,Диск ,C223011138
IBS. СИЛА C111120016 хрипит левый динамик,"Добрый день! 
На ноутбуке C111120016 хрипит левый динамик.
Обновление драйверов на звук не помогло.

 ",Ноутбук,Динамики,C111120016
Мерцает экран,Сила HK2-3404 (C223090004) мерцает экран.,Ноутбук,Матрица,C223090004
Сервер СР2-5422 // Ошибки на System Fan 2,Появились ошибки по датчику System Fan 2,Сервер,Материнская плата,D251110010
"HK2-1404 // Не работает порт Type-C, не работает зарядное устройство // C223102038","Не работает первый порт Type-C, не работает зарядное устройство.
",Ноутбук,Материнская плата,C223102038
Ремонт,"Добрый день, _x000D_
 У меня проблема с ноутбуком «Сила» HK2-3404. При подключении адаптера питания сильно нагревается угол ноутбука около штекера питания Type-C. _x000D_
 Зарядка не идет (или идет не постоянно). От аккумулятора работает нормально. Серийный номер – С223091266 _x000D_
 Данные для регистрации на вашем сайте ниже. _x000D_
 ",Ноутбук,Материнская плата,C223091266
Ноутбук СИЛА HK-1404 // полосы на экране // C223011328,"периодические чёрные вертикальные полосы на экране
",Ноутбук,Материнская плата,C223011328
Не включается дисплей,"Не включается дисплей
",Ноутбук,Материнская плата,C223093407
Ноутбук Сила не работает порт HDMI,"Добрый день_x000D_
При подключении внешнего монитора по HDMI не выводится изображение на монитор,  при этом основной экран ноутбука работает нормально. Проблема ""плавающая"", не постоянная, т.е. внешний подключенный монитор может работать несколько часов нормально, но потом пропадает изображения, моргает, может вообще изображение с монитора пропасть, при этом основной экран всегда работает нормально",Ноутбук,Материнская плата,C112050125
Гарантийный ремонт СИЛА C223012731,"Добрый день,
Как можно организовать забор ноутбука на гарантийный ремонт или отправку нам подменной запчасти?
Модель SILA HK2-1404
Серийный номер C223012731
Проблема в треске вентилятора, проявляется с момента начала эксплуатации, посторонних деталей или отломанных крыльчаток нет. Видео с демонстрацией проблемы - 
",Ноутбук,Вентилятор,C223012731
Гарантийный ремонт Т2,"Добрый день. 
 Прошу произвести гарантийный ремонт ноутбука: 
 1.       СИЛА НК2-1404 s/n C223014726 (Отклеилась защитная сетка на крышке, в связи с чем кулер цепляет и издает звук) 
 ",Ноутбук,Вентилятор,C223014726
HK2- 1404 // Не работает звук на ноутбуке //C223011358,"Добрый день,
Не работают звук на ноутбуке, переустановка и обновление драйверов не помогли.
Просьба завести заявку в рамках гарантийного ремонта.
",Ноутбук,Jack,C223011358
Ноутбук HK2-1404 // Неисправность зарядного устройства ноутбука СИЛА // C223012702,"Добрый день. 
В процессе эксплуатации у пользователя перестало работать зарядное устройство, оба порта type-c ноутбука корректно функционируют, визуально нет следов повреждения, c другими зарядными устройствами ноутбук корректно заряжается. Прошу заменить. Спасибо!
",Ноутбук,Блок питания,C223012702
Гарантия,"Будьте добры сообщить адрес сервисного центра в г.Липецке
",Ноутбук,Диск ,С222091091
